Time Delays,Line Strength T1,Phase T1,Line Width T1,Background,Line Strength T1 Error,Phase T1 Error,Line Width T1 Error
-2.25,0.060391499530102796,-1.0290528697853472,0.22693308246596974,0.04832841037473123,0.00026102310478749816,0.00339611519641448,0.0014919908287148568
-2.0,0.06453309059732888,-0.9155733240503282,0.1604445210264516,0.05275822374341548,0.00027075009072307065,0.0031770884635754695,0.0010063149966961463
-1.75,0.05063631343841933,-1.1137352049879454,0.20586220052694573,0.05006157735990727,0.00019272076399257787,0.002972331305335077,0.0011780279691882775
-1.5,0.09692674129196188,-1.5534004403598909,0.1658042678314198,0.0636711252954429,0.00033557943605606785,0.0026738552384453266,0.0008440677695768197
-1.25,0.17222015523009476,-1.391022142315956,0.1482153137779512,0.08127474839143718,0.0004990901735842933,0.002214250328734706,0.0006296065381047984
-1.0,0.22969304033001353,-1.077141386119807,0.14624473017241926,0.07231697846165179,0.0007138165029817245,0.0023533823922113786,0.0006715168768031454
-0.75,0.2457499296706323,-0.9041663825351354,0.13367040180265086,0.06977211920666078,0.0007477378010446801,0.0022759571587766536,0.0006024487203409534
-0.5,0.2354990937304217,-1.0011642288741702,0.13210230012984797,0.06890281725404292,0.0005508165851728775,0.0017546830596687738,0.0004557171417936085
-0.25,0.2793465636002293,-1.0971255092080276,0.1399584135377001,0.06983973517768624,0.0005400266273680589,0.00146048657502771,0.0003986963851104503
-0.0,0.35635822825920715,-0.9457127193840542,0.1319671621264564,0.07256051349290761,0.0006525332535613119,0.0013708520281428347,0.000357139176773628
0.25,0.42868067404966526,-0.7328449806196189,0.12958807377046375,0.051526337327895896,0.0006836155851260473,0.0011826355053909182,0.0003077614588085853
0.5,0.4647867136694819,-0.6174502638287979,0.12654186788095867,0.05471990572920073,0.0006345563583912899,0.0010067063100631954,0.00025812032391135306
0.75,0.45971153298038453,-0.618283280971991,0.12702911104849515,0.058493850949543715,0.0005203073368415548,0.000834733795316122,0.0002148475100986082
1.0,0.4778417153849154,-0.6231544830242641,0.1277551052440464,0.04091415011527989,0.00041944902369942373,0.0006476803152739608,0.00016760467527801636
1.25,0.5236673733661463,-0.5105039886820134,0.12557821479650388,0.039881061102635645,0.00045517786713023136,0.0006381677439967519,0.00016364267275093873
1.5,0.5711851036978456,-0.3665730711199206,0.12904045295628336,0.031087494060048654,0.00035860948537907425,0.00045922400493888496,0.00012221725367177977
1.75,0.5918463364875385,-0.2838240733324693,0.1271167730948336,0.025252483244081636,0.00028519340049341674,0.00035149969275682886,9.250346157308081e-05
2.0,0.5882906743388289,-0.261153634390195,0.12622829832393168,0.021579199264461724,0.0003018687684151334,0.00037402270256775284,9.781631032434622e-05
2.25,0.5965108647943085,-0.25510415449097823,0.12928311926732586,0.010873394024410935,0.00021942814131884936,0.0002682961217666852,7.194655748398984e-05
2.5,0.6192893804340608,-0.1954187088975795,0.1246008796851929,0.015045396023717962,0.00021447585257292905,0.0002520170054937229,6.518760935373675e-05
2.75,0.6280604557572761,-0.11134585253289403,0.12472646399082142,0.013952377311243207,0.00017912934554676832,0.00020731573263523844,5.3797426065340507e-05
3.0,0.6181999315428102,-0.0731375437002313,0.12871580860932022,0.013360386269331427,0.00019962500284766174,0.00023485483365017314,6.301515144472534e-05
3.25,0.6132954159194121,-0.07218924215456682,0.12776205613515554,0.01468141930663516,0.00020219914364106423,0.00023973327035393063,6.382786487471808e-05
3.5,0.6274158115154079,-0.052442831685951694,0.12635061160263789,0.005123716863305719,0.00018309668634833792,0.00021210829437238955,5.583472376845922e-05
3.75,0.6509559378943891,-0.0175646136018391,0.12545324456238016,0.003496646231653584,0.0002066354817203142,0.00023064740653389867,6.027878544079189e-05
4.0,0.6458975055174775,0.00011278511458034269,0.12589723787476934,0.012455437248011337,0.00022500099131664048,0.00025313386630732796,6.640185002621995e-05
4.25,0.6273395346071374,0.023440941355246693,0.12525012470646696,0.018374127827734038,0.00021402970316540242,0.00024788297972016204,6.467359055885644e-05
4.5,0.6250373339085215,0.030247452984380807,0.12625633407079165,0.014310851496343554,0.00020792699081522263,0.000241758858027558,6.360236502332432e-05
4.75,0.635007044344192,0.026223997321395263,0.1275687568709159,0.005313431093290412,0.0002205865484964958,0.0002525220537421579,6.71556046920748e-05
5.0,0.6589434940540638,0.041348107694869476,0.12525347712619356,0.0019026034193825449,0.00023595761494118602,0.00026018450216221394,6.787878383094399e-05
